version,readers,writers,time
le_mutex_cond,1,1,
le_mutex_cond,1,3,
le_mutex_cond,1,2,
le_mutex_cond,4,1,
le_mutex_cond,4,3,
le_mutex_cond,4,2,
le_mutex_cond,2,1,
le_mutex_cond,2,3,
le_mutex_cond,2,2,
le_busy_wait,1,1,
le_busy_wait,1,3,
le_busy_wait,1,2,
le_busy_wait,4,1,
le_busy_wait,4,3,
le_busy_wait,4,2,
le_busy_wait,2,1,
le_busy_wait,2,3,
le_busy_wait,2,2,
le_barrier,1,1,
le_barrier,1,3,
le_barrier,1,2,
le_barrier,4,1,
le_barrier,4,3,
le_barrier,4,2,
le_barrier,2,1,
le_barrier,2,3,
le_barrier,2,2,
