implementation,scenario,readers,writers,program_exec_time_sec,reader_throughput_ops_sec,writer_throughput_ops_sec,total_throughput_ops_sec,perf_cpu_cycles,perf_task_clock_ms
le_semaphore,R_eq_W,30,30,53.0164,0.57,0.57,1.13,31177058cpu-,19.64
le_semaphore,W_gt_R,30,50,104.0236,0.29,0.48,0.77,38969821cpu-,26.58
le_semaphore,R_gt_W,50,30,57.0177,0.88,0.53,1.40,38658171cpu-,26.51
le_busy_wait,R_eq_W,30,30,68.0042,0.44,0.44,0.88,1304030920151cpu-,381692.83
le_busy_wait,W_gt_R,30,50,103.0042,0.29,0.49,0.78,2037480561190cpu-,619563.74
le_busy_wait,R_gt_W,50,30,65.0040,0.77,0.46,1.23,1021507563432cpu-,358182.55
le_mutex_cond,R_eq_W,30,30,66.0239,0.45,0.45,0.91,53551588cpu-,42.75
le_mutex_cond,W_gt_R,30,50,104.0445,0.29,0.48,0.77,94716697cpu-,89.49
le_mutex_cond,R_gt_W,50,30,57.0748,0.88,0.53,1.40,70345101cpu-,105.26
